SNIFFER CHECKS LOG - Testcase: N-4.2.26_AN 


Jul:21:2023-13:20:47 | SNIFFER ---> sniffer_get_info, 
Jul:21:2023-13:31:31 | SNIFFER <-- status,COMPLETE

 
Jul:21:2023-13:31:36 | SNIFFER ---> sniffer_control_field_check,name,wireShark_wlan,filename,4.2.26_step10,srcMac,02:e0:92:00:01:41,framename,Beacon,HtProtection,0 
Jul:21:2023-13:31:56 | SNIFFER <-- status,COMPLETE,CheckResult,SUCCESS

 
Jul:21:2023-13:31:56 | SNIFFER ---> sniffer_control_field_check,name,wireShark_wlan,filename,4.2.26_step10,srcMac,02:e0:92:00:01:41,framename,Beacon,HtProtection,3 
Jul:21:2023-13:31:56 | SNIFFER <-- status,COMPLETE,CheckResult,FAIL

 
